BillID,CustomerID,Region,UtilityType,BillMonth,UnitsConsumed,RatePerUnit,ExpectedAmount,BilledAmount,PaymentStatus,DueDate,PaidDate,Discrepancy,DiscrepancyFlag
BILL00042,CUST0013,North,Water,Jan-2024,18.9,18.5,349.65,349.65,Paid,2024-01-21,2024-01-12,0.0,No
BILL00043,CUST0013,North,Gas,Jan-2024,11.7,45.0,526.5,526.5,Paid,2024-01-21,2024-01-21,0.0,No
BILL00044,CUST0013,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00045,CUST0014,North,Water,Jan-2024,10.6,18.5,196.1,196.1,Overdue,2024-01-21,,0.0,No
BILL00046,CUST0014,North,Gas,Jan-2024,9.8,45.0,441.0,441.0,Paid,2024-01-21,2024-01-15,0.0,No
BILL00047,CUST0014,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-13,0.0,No
BILL00048,CUST0015,South,Electricity,Jan-2024,313.4,7.2,2256.48,2256.48,Overdue,2024-01-21,,0.0,No
BILL00049,CUST0015,South,Gas,Jan-2024,13.0,45.0,585.0,585.0,Paid,2024-01-21,2024-01-11,0.0,No
BILL00050,CUST0015,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-07,0.0,No
BILL00051,CUST0016,South,Electricity,Jan-2024,269.4,7.2,1939.68,1939.68,Paid,2024-01-21,2024-01-19,0.0,No
BILL00052,CUST0016,South,Water,Jan-2024,16.1,18.5,297.85,297.85,Paid,2024-01-21,2024-01-20,0.0,No
BILL00053,CUST0016,South,Gas,Jan-2024,10.0,45.0,450.0,450.0,Paid,2024-01-21,2024-01-17,0.0,No
BILL00054,CUST0017,Central,Electricity,Jan-2024,286.7,7.2,2064.24,2064.24,Overdue,2024-01-21,,0.0,No
BILL00055,CUST0017,Central,Gas,Jan-2024,15.1,45.0,679.5,679.5,Paid,2024-01-21,2024-01-10,0.0,No
BILL00056,CUST0017,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-17,0.0,No
BILL00057,CUST0018,Central,Electricity,Jan-2024,199.6,7.2,1437.12,1437.12,Paid,2024-01-21,2024-01-16,0.0,No
BILL00058,CUST0018,Central,Water,Jan-2024,16.5,18.5,305.25,351.04,Pending,2024-01-21,,45.79,Yes
BILL00059,CUST0018,Central,Gas,Jan-2024,13.0,45.0,585.0,585.0,Pending,2024-01-21,,0.0,No
BILL00060,CUST0018,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00061,CUST0019,North,Electricity,Jan-2024,221.2,7.2,1592.64,1911.17,Paid,2024-01-21,2024-01-07,318.53,Yes
BILL00062,CUST0019,North,Water,Jan-2024,17.1,18.5,316.35,316.35,Pending,2024-01-21,,0.0,No
BILL00063,CUST0019,North,Gas,Jan-2024,8.7,45.0,391.5,391.5,Paid,2024-01-21,2024-01-13,0.0,No
BILL00064,CUST0019,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-09,0.0,No
BILL00065,CUST0020,Central,Electricity,Jan-2024,298.8,7.2,2151.36,2151.36,Paid,2024-01-21,2024-01-21,0.0,No
BILL00066,CUST0020,Central,Gas,Jan-2024,16.1,45.0,724.5,724.5,Overdue,2024-01-21,,0.0,No
BILL00067,CUST0020,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.2,Paid,2024-01-21,2024-01-11,0.2,No
BILL00068,CUST0021,South,Electricity,Jan-2024,310.2,7.2,2233.44,2233.44,Paid,2024-01-21,2024-01-15,0.0,No
BILL00069,CUST0021,South,Water,Jan-2024,19.8,18.5,366.3,366.3,Paid,2024-01-21,2024-01-15,0.0,No
BILL00070,CUST0021,South,Gas,Jan-2024,10.1,45.0,454.5,522.67,Paid,2024-01-21,2024-01-18,68.17,Yes
BILL00071,CUST0021,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-08,0.0,No
BILL00072,CUST0022,Central,Electricity,Jan-2024,342.3,7.2,2464.56,2464.56,Paid,2024-01-21,2024-01-15,0.0,No
BILL00073,CUST0022,Central,Water,Jan-2024,17.8,18.5,329.3,329.3,Paid,2024-01-21,2024-01-16,0.0,No
BILL00074,CUST0022,Central,Gas,Jan-2024,16.7,45.0,751.5,751.5,Paid,2024-01-21,2024-01-21,0.0,No
BILL00075,CUST0022,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00076,CUST0023,West,Electricity,Jan-2024,299.3,7.2,2154.96,2154.96,Paid,2024-01-21,2024-01-15,0.0,No
BILL00077,CUST0023,West,Water,Jan-2024,18.4,18.5,340.4,340.4,Overdue,2024-01-21,,0.0,No
BILL00078,CUST0023,West,Gas,Jan-2024,11.1,45.0,499.5,499.5,Paid,2024-01-21,2024-01-11,0.0,No
BILL00079,CUST0024,South,Electricity,Jan-2024,255.5,7.2,1839.6,1839.6,Paid,2024-01-21,2024-01-15,0.0,No
BILL00080,CUST0024,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00081,CUST0025,West,Electricity,Jan-2024,236.8,7.2,1704.96,1704.96,Paid,2024-01-21,2024-01-09,0.0,No
BILL00082,CUST0025,West,Water,Jan-2024,19.8,18.5,366.3,366.3,Paid,2024-01-21,2024-01-21,0.0,No
BILL00083,CUST0025,West,Gas,Jan-2024,16.4,45.0,738.0,738.0,Overdue,2024-01-21,,0.0,No
BILL00084,CUST0025,West,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00085,CUST0026,Central,Electricity,Jan-2024,201.5,7.2,1450.8,1450.8,Paid,2024-01-21,2024-01-18,0.0,No
BILL00086,CUST0026,Central,Water,Jan-2024,15.5,18.5,286.75,286.75,Paid,2024-01-21,2024-01-11,0.0,No
BILL00087,CUST0026,Central,Gas,Jan-2024,14.7,45.0,661.5,661.5,Paid,2024-01-21,2024-01-08,0.0,No
BILL00088,CUST0026,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00089,CUST0027,East,Electricity,Jan-2024,218.2,7.2,1571.04,1571.04,Paid,2024-01-21,2024-01-14,0.0,No
BILL00090,CUST0027,East,Water,Jan-2024,20.6,18.5,381.1,381.1,Pending,2024-01-21,,0.0,No
BILL00091,CUST0027,East,Gas,Jan-2024,12.3,45.0,553.5,553.5,Paid,2024-01-21,2024-01-12,0.0,No
BILL00092,CUST0027,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00093,CUST0028,North,Water,Jan-2024,14.5,18.5,268.25,268.25,Paid,2024-01-21,2024-01-15,0.0,No
BILL00094,CUST0028,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-15,0.0,No
BILL00095,CUST0029,South,Electricity,Jan-2024,226.5,7.2,1630.8,1630.8,Pending,2024-01-21,,0.0,No
BILL00096,CUST0029,South,Water,Jan-2024,10.7,18.5,197.95,257.33,Paid,2024-01-21,2024-01-21,59.38,Yes
BILL00097,CUST0029,South,Gas,Jan-2024,12.9,45.0,580.5,580.5,Paid,2024-01-21,2024-01-08,0.0,No
BILL00098,CUST0029,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00099,CUST0030,West,Electricity,Jan-2024,250.3,7.2,1802.16,1802.16,Paid,2024-01-21,2024-01-06,0.0,No
BILL00100,CUST0030,West,Gas,Jan-2024,11.3,45.0,508.5,508.5,Paid,2024-01-21,2024-01-16,0.0,No
BILL00101,CUST0030,West,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00102,CUST0031,East,Electricity,Jan-2024,224.8,7.2,1618.56,1618.56,Paid,2024-01-21,2024-01-21,0.0,No
BILL00103,CUST0031,East,Gas,Jan-2024,11.0,45.0,495.0,495.0,Paid,2024-01-21,2024-01-13,0.0,No
BILL00104,CUST0031,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-09,0.0,No
BILL00105,CUST0032,East,Electricity,Jan-2024,240.3,7.2,1730.16,1730.16,Paid,2024-01-21,2024-01-19,0.0,No
BILL00106,CUST0032,East,Water,Jan-2024,20.0,18.5,370.0,370.0,Paid,2024-01-21,2024-01-10,0.0,No
BILL00107,CUST0032,East,Gas,Jan-2024,17.7,45.0,796.5,597.38,Pending,2024-01-21,,-199.12,Yes
BILL00108,CUST0032,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-17,0.0,No
BILL00109,CUST0033,South,Electricity,Jan-2024,265.5,7.2,1911.6,1911.6,Paid,2024-01-21,2024-01-15,0.0,No
BILL00110,CUST0033,South,Water,Jan-2024,17.6,18.5,325.6,325.6,Paid,2024-01-21,2024-01-18,0.0,No
BILL00111,CUST0033,South,Gas,Jan-2024,6.2,45.0,279.0,279.0,Paid,2024-01-21,2024-01-21,0.0,No
BILL00112,CUST0033,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00113,CUST0034,South,Electricity,Jan-2024,253.6,7.2,1825.92,1825.92,Paid,2024-01-21,2024-01-14,0.0,No
BILL00114,CUST0034,South,Gas,Jan-2024,19.4,45.0,873.0,873.0,Paid,2024-01-21,2024-01-18,0.0,No
BILL00115,CUST0034,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-08,0.0,No
BILL00116,CUST0035,East,Electricity,Jan-2024,268.1,7.2,1930.32,2219.87,Paid,2024-01-21,2024-01-08,289.55,Yes
BILL00117,CUST0035,East,Water,Jan-2024,17.8,18.5,329.3,378.69,Paid,2024-01-21,2024-01-07,49.39,Yes
BILL00118,CUST0035,East,Gas,Jan-2024,8.5,45.0,382.5,382.5,Pending,2024-01-21,,0.0,No
BILL00119,CUST0035,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00120,CUST0036,North,Electricity,Jan-2024,295.1,7.2,2124.72,2124.72,Paid,2024-01-21,2024-01-13,0.0,No
BILL00121,CUST0036,North,Water,Jan-2024,22.0,18.5,407.0,407.0,Overdue,2024-01-21,,0.0,No
BILL00122,CUST0036,North,Gas,Jan-2024,9.3,45.0,418.5,418.5,Pending,2024-01-21,,0.0,No
BILL00123,CUST0036,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-06,0.0,No
BILL00124,CUST0037,North,Electricity,Jan-2024,165.9,7.2,1194.48,1194.48,Paid,2024-01-21,2024-01-13,0.0,No
BILL00125,CUST0037,North,Water,Jan-2024,20.9,18.5,386.65,386.65,Pending,2024-01-21,,0.0,No
BILL00126,CUST0037,North,Gas,Jan-2024,18.6,45.0,837.0,711.45,Paid,2024-01-21,2024-01-08,-125.55,Yes
BILL00127,CUST0037,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-06,0.0,No
BILL00128,CUST0038,West,Electricity,Jan-2024,216.0,7.2,1555.2,1788.48,Paid,2024-01-21,2024-01-14,233.28,Yes
BILL00129,CUST0038,West,Water,Jan-2024,18.5,18.5,342.25,342.25,Paid,2024-01-21,2024-01-10,0.0,No
BILL00130,CUST0038,West,Gas,Jan-2024,10.5,45.0,472.5,472.5,Paid,2024-01-21,2024-01-07,0.0,No
BILL00131,CUST0038,West,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-15,0.0,No
BILL00132,CUST0039,North,Electricity,Jan-2024,254.1,7.2,1829.52,1829.52,Overdue,2024-01-21,,0.0,No
BILL00133,CUST0039,North,Water,Jan-2024,12.7,18.5,234.95,234.95,Pending,2024-01-21,,0.0,No
BILL00134,CUST0039,North,Gas,Jan-2024,13.4,45.0,603.0,603.0,Pending,2024-01-21,,0.0,No
BILL00135,CUST0039,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00136,CUST0040,East,Electricity,Jan-2024,343.0,7.2,2469.6,2469.6,Paid,2024-01-21,2024-01-17,0.0,No
BILL00137,CUST0040,East,Water,Jan-2024,14.1,18.5,260.85,260.85,Paid,2024-01-21,2024-01-17,0.0,No
BILL00138,CUST0040,East,Gas,Jan-2024,11.0,45.0,495.0,495.0,Paid,2024-01-21,2024-01-21,0.0,No
BILL00139,CUST0040,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-16,0.0,No
BILL00140,CUST0041,East,Electricity,Jan-2024,176.1,7.2,1267.92,1267.92,Pending,2024-01-21,,0.0,No
BILL00141,CUST0041,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-17,0.0,No
BILL00142,CUST0042,Central,Water,Jan-2024,24.5,18.5,453.25,453.25,Overdue,2024-01-21,,0.0,No
BILL00143,CUST0042,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00144,CUST0043,East,Electricity,Jan-2024,261.1,7.2,1879.92,1879.92,Paid,2024-01-21,2024-01-07,0.0,No
BILL00145,CUST0043,East,Water,Jan-2024,19.3,18.5,357.05,357.05,Paid,2024-01-21,2024-01-20,0.0,No
BILL00146,CUST0043,East,Gas,Jan-2024,14.3,45.0,643.5,643.5,Overdue,2024-01-21,,0.0,No
BILL00147,CUST0043,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-16,0.0,No
BILL00148,CUST0044,North,Electricity,Jan-2024,170.8,7.2,1229.76,1229.76,Paid,2024-01-21,2024-01-08,0.0,No
BILL00149,CUST0044,North,Water,Jan-2024,20.6,18.5,381.1,381.1,Paid,2024-01-21,2024-01-14,0.0,No
BILL00150,CUST0044,North,Gas,Jan-2024,12.9,45.0,580.5,580.5,Pending,2024-01-21,,0.0,No
BILL00151,CUST0045,West,Electricity,Jan-2024,265.0,7.2,1908.0,1908.0,Pending,2024-01-21,,0.0,No
BILL00152,CUST0045,West,Water,Jan-2024,19.7,18.5,364.45,364.45,Paid,2024-01-21,2024-01-18,0.0,No
BILL00153,CUST0045,West,Gas,Jan-2024,10.0,45.0,450.0,450.0,Overdue,2024-01-21,,0.0,No
BILL00154,CUST0045,West,Telecom,Jan-2024,1.0,1.0,1.0,0.85,Pending,2024-01-21,,-0.15,No
BILL00155,CUST0046,Central,Electricity,Jan-2024,267.6,7.2,1926.72,1926.72,Overdue,2024-01-21,,0.0,No
BILL00156,CUST0046,Central,Water,Jan-2024,14.4,18.5,266.4,266.4,Paid,2024-01-21,2024-01-09,0.0,No
BILL00157,CUST0046,Central,Gas,Jan-2024,17.6,45.0,792.0,792.0,Paid,2024-01-21,2024-01-19,0.0,No
BILL00158,CUST0046,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00159,CUST0047,North,Electricity,Jan-2024,178.5,7.2,1285.2,1092.42,Overdue,2024-01-21,,-192.78,Yes
BILL00160,CUST0047,North,Water,Jan-2024,21.3,18.5,394.05,394.05,Overdue,2024-01-21,,0.0,No
BILL00161,CUST0047,North,Gas,Jan-2024,9.1,45.0,409.5,409.5,Paid,2024-01-21,2024-01-20,0.0,No
BILL00162,CUST0047,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-07,0.0,No
BILL00163,CUST0048,West,Electricity,Jan-2024,319.5,7.2,2300.4,2300.4,Paid,2024-01-21,2024-01-06,0.0,No
BILL00164,CUST0048,West,Water,Jan-2024,13.9,18.5,257.15,257.15,Paid,2024-01-21,2024-01-11,0.0,No
BILL00165,CUST0048,West,Gas,Jan-2024,14.9,45.0,670.5,670.5,Paid,2024-01-21,2024-01-06,0.0,No
BILL00166,CUST0048,West,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00167,CUST0049,North,Electricity,Jan-2024,299.3,7.2,2154.96,2154.96,Paid,2024-01-21,2024-01-11,0.0,No
BILL00168,CUST0049,North,Gas,Jan-2024,17.7,45.0,796.5,796.5,Pending,2024-01-21,,0.0,No
BILL00169,CUST0050,Central,Electricity,Jan-2024,235.3,7.2,1694.16,1694.16,Paid,2024-01-21,2024-01-10,0.0,No
BILL00170,CUST0050,Central,Water,Jan-2024,14.2,18.5,262.7,262.7,Paid,2024-01-21,2024-01-20,0.0,No
BILL00171,CUST0050,Central,Gas,Jan-2024,9.3,45.0,418.5,418.5,Overdue,2024-01-21,,0.0,No
BILL00172,CUST0050,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-14,0.0,No
BILL00173,CUST0051,East,Electricity,Jan-2024,245.4,7.2,1766.88,1766.88,Paid,2024-01-21,2024-01-08,0.0,No
BILL00174,CUST0051,East,Gas,Jan-2024,13.0,45.0,585.0,585.0,Paid,2024-01-21,2024-01-18,0.0,No
BILL00175,CUST0051,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Overdue,2024-01-21,,0.0,No
BILL00176,CUST0052,Central,Electricity,Jan-2024,299.6,7.2,2157.12,2157.12,Paid,2024-01-21,2024-01-06,0.0,No
BILL00177,CUST0052,Central,Water,Jan-2024,18.1,18.5,334.85,334.85,Paid,2024-01-21,2024-01-09,0.0,No
BILL00178,CUST0052,Central,Gas,Jan-2024,16.4,45.0,738.0,738.0,Pending,2024-01-21,,0.0,No
BILL00179,CUST0053,East,Water,Jan-2024,16.7,18.5,308.95,308.95,Paid,2024-01-21,2024-01-13,0.0,No
BILL00180,CUST0053,East,Gas,Jan-2024,20.2,45.0,909.0,909.0,Paid,2024-01-21,2024-01-06,0.0,No
BILL00181,CUST0053,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-11,0.0,No
BILL00182,CUST0054,Central,Electricity,Jan-2024,198.6,7.2,1429.92,1429.92,Paid,2024-01-21,2024-01-11,0.0,No
BILL00183,CUST0054,Central,Water,Jan-2024,12.6,18.5,233.1,233.1,Paid,2024-01-21,2024-01-09,0.0,No
BILL00184,CUST0054,Central,Gas,Jan-2024,13.4,45.0,603.0,603.0,Paid,2024-01-21,2024-01-06,0.0,No
BILL00185,CUST0054,Central,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-17,0.0,No
BILL00186,CUST0055,South,Electricity,Jan-2024,292.8,7.2,2108.16,2740.61,Overdue,2024-01-21,,632.45,Yes
BILL00187,CUST0055,South,Water,Jan-2024,20.4,18.5,377.4,452.88,Paid,2024-01-21,2024-01-07,75.48,Yes
BILL00188,CUST0056,North,Electricity,Jan-2024,245.6,7.2,1768.32,1768.32,Paid,2024-01-21,2024-01-13,0.0,No
BILL00189,CUST0056,North,Water,Jan-2024,13.8,18.5,255.3,255.3,Paid,2024-01-21,2024-01-11,0.0,No
BILL00190,CUST0056,North,Gas,Jan-2024,7.5,45.0,337.5,337.5,Paid,2024-01-21,2024-01-11,0.0,No
BILL00191,CUST0056,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-20,0.0,No
BILL00192,CUST0057,North,Electricity,Jan-2024,301.4,7.2,2170.08,2170.08,Paid,2024-01-21,2024-01-12,0.0,No
BILL00193,CUST0057,North,Water,Jan-2024,19.1,18.5,353.35,353.35,Paid,2024-01-21,2024-01-18,0.0,No
BILL00194,CUST0057,North,Gas,Jan-2024,8.3,45.0,373.5,373.5,Paid,2024-01-21,2024-01-16,0.0,No
BILL00195,CUST0057,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-20,0.0,No
BILL00196,CUST0058,South,Electricity,Jan-2024,273.1,7.2,1966.32,1966.32,Paid,2024-01-21,2024-01-08,0.0,No
BILL00197,CUST0058,South,Water,Jan-2024,13.6,18.5,251.6,251.6,Paid,2024-01-21,2024-01-19,0.0,No
BILL00198,CUST0058,South,Gas,Jan-2024,12.5,45.0,562.5,562.5,Paid,2024-01-21,2024-01-06,0.0,No
BILL00199,CUST0058,South,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-13,0.0,No
BILL00200,CUST0059,East,Electricity,Jan-2024,181.4,7.2,1306.08,1306.08,Overdue,2024-01-21,,0.0,No
BILL00201,CUST0059,East,Water,Jan-2024,19.8,18.5,366.3,366.3,Paid,2024-01-21,2024-01-19,0.0,No
BILL00202,CUST0059,East,Gas,Jan-2024,13.7,45.0,616.5,616.5,Paid,2024-01-21,2024-01-08,0.0,No
BILL00203,CUST0059,East,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Paid,2024-01-21,2024-01-09,0.0,No
BILL00204,CUST0060,North,Electricity,Jan-2024,313.2,7.2,2255.04,2706.05,Paid,2024-01-21,2024-01-12,451.01,Yes
BILL00205,CUST0060,North,Water,Jan-2024,11.1,18.5,205.35,205.35,Overdue,2024-01-21,,0.0,No
BILL00206,CUST0060,North,Gas,Jan-2024,9.2,45.0,414.0,414.0,Paid,2024-01-21,2024-01-20,0.0,No
BILL00207,CUST0060,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
BILL00208,CUST0061,South,Electricity,Jan-2024,280.8,7.2,2021.76,2021.76,Paid,2024-01-21,2024-01-10,0.0,No
BILL00209,CUST0061,South,Water,Jan-2024,20.6,18.5,381.1,381.1,Paid,2024-01-21,2024-01-17,0.0,No
BILL00210,CUST0061,South,Gas,Jan-2024,23.6,45.0,1062.0,1062.0,Paid,2024-01-21,2024-01-12,0.0,No
BILL00211,CUST0061,South,Telecom,Jan-2024,1.0,1.0,1.0,1.15,Pending,2024-01-21,,0.15,No
BILL00212,CUST0062,North,Water,Jan-2024,23.7,18.5,438.45,438.45,Paid,2024-01-21,2024-01-17,0.0,No
BILL00213,CUST0062,North,Gas,Jan-2024,14.9,45.0,670.5,670.5,Paid,2024-01-21,2024-01-13,0.0,No
BILL00214,CUST0062,North,Telecom,Jan-2024,1.0,1.0,1.0,1.0,Pending,2024-01-21,,0.0,No
